"typeResult","idGame","slugTeam","idTeam","pctAST","pctOREB","pctDREB","pctTREB","pctTOVE","pctTOVTeam","pctEFG","pctTS","pctUSG","pctUSGE","teamName","cityTeam","minExact","ortgE","ortg","drtgE","drtg","netrtgE","netrtg","ratioASTtoTOV","ratioAST","paceE","pace","pacePer40PACE_PER40","possessions","ratioPIE"
"team",22200371,"DET",1610612765,0.486,0.228,0.714,0.453,12.74,13,0.472,0.505,1,0.198,"Pistons","Detroit",240,96,98,99.9,105.1,-3.8,-7.1,1.31,13.4,103.08,99.5,82.92,100,0.413
"team",22200365,"NYK",1610612752,0.703,0.333,0.759,0.566,14.805,14.9,0.548,0.604,1,0.199,"Knicks","New York",240,119.5,120.2,93.1,95.7,26.4,24.5,1.86,19.5,95.06,93.5,77.92,94,0.648
"team",22200365,"ATL",1610612737,0.5,0.241,0.667,0.434,11.511,11.8,0.412,0.466,1,0.199,"Hawks","Atlanta",240,93.1,95.7,119.5,120.2,-26.4,-24.5,1.45,13.1,95.06,93.5,77.92,93,0.352
"team",22200372,"UTA",1610612762,0.565,0.268,0.636,0.479,16.466,16.5,0.622,0.651,1,0.201,"Jazz","Utah",240,120.1,120.4,112.8,118.3,7.3,2.1,1.53,18.8,106.12,103.5,86.25,103,0.531
"team",22200372,"GSW",1610612744,0.578,0.364,0.732,0.521,12.844,13.5,0.531,0.564,1,0.197,"Warriors","Golden State",240,112.8,118.3,120.1,120.4,-7.3,-2.1,1.86,17.4,106.12,103.5,86.25,104,0.469
"team",22200363,"ORL",1610612753,0.5,0.333,0.629,0.487,12.306,12.6,0.463,0.534,1,0.199,"Magic","Orlando",265,109.8,112.6,104.3,106.7,5.5,5.9,1.54,14.1,96.04,93.74,78.11,103,0.528
"team",22200363,"LAC",1610612746,0.667,0.371,0.667,0.513,15.971,16.3,0.489,0.521,1,0.196,"Clippers","LA",265,104.3,106.7,109.8,112.6,-5.5,-5.9,1.53,17.4,96.04,93.74,78.11,104,0.472
"team",22200364,"CHA",1610612766,0.532,0.261,0.795,0.506,11.098,11.3,0.591,0.591,1,0.194,"Hornets","Charlotte",240,117,119.6,123.2,125.8,-6.2,-6.2,2.27,18.6,99.08,97,80.83,97,0.443
"team",22200364,"BKN",1610612751,0.673,0.205,0.739,0.494,11.107,11.3,0.64,0.656,1,0.196,"Nets","Brooklyn",240,123.2,125.8,117,119.6,6.2,6.2,3,24.1,99.08,97,80.83,97,0.557
"team",22200366,"TOR",1610612761,0.532,0.371,0.765,0.549,9.949,10.2,0.5,0.54,1,0.201,"Raptors","Toronto",240,114,116.7,105.2,105.6,8.8,11.1,2.27,16.4,108.98,107.5,89.58,108,0.55
"team",22200366,"LAL",1610612747,0.432,0.235,0.629,0.451,13.966,14,0.466,0.552,1,0.201,"Lakers","Los Angeles",240,105.2,105.6,114,116.7,-8.8,-11.1,1.07,12,108.98,107.5,89.58,107,0.45
"team",22200368,"OKC",1610612760,0.735,0.311,0.729,0.495,17.737,18.1,0.446,0.499,1,0.2,"Thunder","Oklahoma City",240,95.2,97.1,113.8,117.1,-18.6,-20,1.32,17.1,107.58,105,87.5,105,0.384
"team",22200368,"MEM",1610612763,0.667,0.271,0.689,0.505,15.735,16.2,0.585,0.609,1,0.191,"Grizzlies","Memphis",240,113.8,117.1,95.2,97.1,18.6,20,1.88,21.3,107.58,105,87.5,105,0.616
"team",22200369,"SAC",1610612758,0.442,0.204,0.623,0.422,8.16,8.3,0.538,0.576,1,0.196,"Kings","Sacramento",240,115.3,117.7,130.5,131.3,-15.2,-13.5,2.38,15.2,97.3,96,80,96,0.431
"team",22200369,"MIL",1610612749,0.739,0.377,0.796,0.578,7.249,7.3,0.552,0.591,1,0.201,"Bucks","Milwaukee",240,130.5,131.3,115.3,117.7,15.2,13.5,4.86,23,97.3,96,80,96,0.569
"team",22200367,"WAS",1610612764,0.537,0.217,0.761,0.489,16.55,17,0.542,0.574,1,0.2,"Wizards","Washington",240,102.1,104.7,104.1,107.5,-2,-2.8,1.22,16.1,109.62,106.5,88.75,106,0.471
"team",22200367,"CHI",1610612741,0.644,0.239,0.783,0.511,17.198,17.8,0.556,0.59,1,0.197,"Bulls","Chicago",240,104.1,107.5,102.1,104.7,2,2.8,1.53,19.9,109.62,106.5,88.75,107,0.529
